2019-09-22 09:35:30 ip: 192.168.1.1 answer: 5-3333
2019-09-30 19:23:15 ip: 70.24.59.237 answer: thelaurierhouse
2019-09-30 19:24:24 ip: 70.24.59.237 answer: thegranthouse
2019-09-30 19:24:29 ip: 70.24.59.237 answer: granthouse
2019-09-30 19:26:14 ip: 70.24.59.237 answer: lisharcollegiate
2019-09-30 19:26:21 ip: 70.24.59.237 answer: thenormalschool
2019-09-30 19:33:08 ip: 70.24.59.237 answer: lisharcollegiate
2019-09-30 19:33:35 ip: 70.24.59.237 answer: lisgarcollegiateinstitute
2019-09-30 19:33:53 ip: 70.24.59.237 answer: ottawacollegiateinstitute
2019-09-30 19:34:23 ip: 70.24.59.237 answer: the.normalschool
2019-09-30 19:34:31 ip: 70.24.59.237 answer: theheritagebuilding
2019-09-30 19:34:38 ip: 70.24.59.237 answer: thehall
2019-09-30 19:34:59 ip: 70.24.59.237 answer: thegranthouse
2019-09-30 19:35:06 ip: 70.24.59.237 answer: beckta
2019-09-30 19:35:14 ip: 70.24.59.237 answer: beckta’s
2019-09-30 19:36:53 ip: 70.24.59.237 answer: tabarethall
2019-09-30 19:37:36 ip: 70.24.59.237 answer: teacher’scollege
2019-09-30 19:43:47 ip: 192.168.1.1user: roocell answer: test
2019-09-30 19:44:01 ip: 192.168.1.1user: roocell answer: asdf
2019-09-30 19:47:17 ip: 192.168.1.1user: roocell answer: asdf
2019-09-30 20:07:57 ip: 192.168.1.1user: roocell answer: asdfasdf
2019-09-30 22:12:05 ip: 70.24.59.237user: Ghoulish answer: becktas
2019-09-30 22:16:50 ip: 70.24.59.237user: Ghoulish answer: 195elgin
2019-09-30 22:16:57 ip: 70.24.59.237user: Ghoulish answer: 195elginst
2019-09-30 22:17:06 ip: 70.24.59.237user: Ghoulish answer: 195elginstreet
2019-09-30 22:17:32 ip: 70.24.59.237user: Ghoulish answer: 150elgin
2019-09-30 22:17:42 ip: 70.24.59.237user: Ghoulish answer: 150elginst
2019-09-30 22:17:49 ip: 70.24.59.237user: Ghoulish answer: 150elginstreet
2019-09-30 22:18:05 ip: 70.24.59.237user: Ghoulish answer: 29lisgar
2019-09-30 22:18:12 ip: 70.24.59.237user: Ghoulish answer: 29lisgarst
2019-09-30 22:18:20 ip: 70.24.59.237user: Ghoulish answer: 29lisgarstreet
2019-09-30 23:00:13 ip: 70.24.59.237user: Ghoulish answer: 150elginst
2019-09-30 23:01:10 ip: 70.24.59.237user: Ghoulish answer: laurierhouse
2019-09-30 23:01:33 ip: 70.24.59.237user: Ghoulish answer: 335laurier
2019-09-30 23:01:47 ip: 70.24.59.237user: Ghoulish answer: 335laurieravenue
2019-10-01 19:11:48 ip: 70.24.59.237user: Ghoulish answer: sirjamesalexandergrant
2019-10-01 19:12:01 ip: 70.24.59.237user: Ghoulish answer: jamesalexandergrant
2019-10-01 19:12:10 ip: 70.24.59.237user: Ghoulish answer: srijamesgrant
2019-10-01 19:12:17 ip: 70.24.59.237user: Ghoulish answer: jamesgrant
2019-10-01 19:12:26 ip: 70.24.59.237user: Ghoulish answer: granthouse
2019-10-01 19:13:50 ip: 70.24.59.237user: Ghoulish answer: thenormalschool
2019-10-01 19:14:08 ip: 70.24.59.237user: Ghoulish answer: ottawanormalschool
2019-10-01 19:17:32 ip: 70.24.59.237user: Ghoulish answer: becktadiningandwine
2019-10-01 19:58:38 ip: 70.24.59.237user: Ghoulish answer: hotel100
2019-10-01 20:01:25 ip: 70.24.59.237user: Ghoulish answer: lordelginhotel
2019-10-01 20:01:35 ip: 70.24.59.237user: Ghoulish answer: thelordelginhotel
2019-10-01 20:01:49 ip: 70.24.59.237user: Ghoulish answer: lordelgin
2019-10-01 20:02:00 ip: 70.24.59.237user: Ghoulish answer: 100elgin
2019-10-01 20:02:08 ip: 70.24.59.237user: Ghoulish answer: 100elginstreet
2019-10-01 20:04:25 ip: 70.24.59.237user: Ghoulish answer: beckta
2019-10-01 20:04:54 ip: 70.24.59.237user: Ghoulish answer: beckta
2019-10-01 20:05:04 ip: 70.24.59.237user: Ghoulish answer: beckta’s
2019-10-01 20:05:16 ip: 70.24.59.237user: Ghoulish answer: becktadiningandwine
2019-10-01 20:05:37 ip: 70.24.59.237user: Ghoulish answer: 150elginstreet
2019-10-01 20:05:47 ip: 70.24.59.237user: Ghoulish answer: 150elgin
