2019-10-05 16:31:01 ip: 24.114.102.139user: roocell answer: notlobazile
2019-10-05 23:37:02 ip: 70.24.59.237user: Ghoulish answer: davidewort
2019-10-05 23:37:51 ip: 70.24.59.237user: Ghoulish answer: canadianmuseumofnature
2019-10-05 23:38:04 ip: 70.24.59.237user: Ghoulish answer: victoriamemorialmuseum
2019-10-07 19:06:40 ip: 70.24.59.237user: Ghoulish answer: thecourtyardrestaurant
2019-10-07 19:07:16 ip: 70.24.59.237user: Ghoulish answer: mrs.evans
2019-10-08 16:18:42 ip: 70.24.59.237user: Ghoulish answer: mrs.evans
2019-10-08 16:19:02 ip: 70.24.59.237user: Ghoulish answer: elizabolton
2019-10-08 16:19:55 ip: 70.24.59.237user: Ghoulish answer: patrickwhelan
2019-10-08 16:20:17 ip: 70.24.59.237user: Ghoulish answer: eugenelarment
2019-10-08 16:22:01 ip: 70.24.59.237user: Ghoulish answer: freddy
2019-10-08 16:25:06 ip: 70.24.59.237user: Ghoulish answer: theasp
2019-10-08 16:26:36 ip: 70.24.59.237user: Ghoulish answer: annecurrier
2019-10-08 16:32:52 ip: 70.24.59.237user: Ghoulish answer: 571495
2019-10-08 16:33:02 ip: 70.24.59.237user: Ghoulish answer: 594175
2019-10-08 16:33:35 ip: 70.24.59.237user: Ghoulish answer: 195elginstreet
2019-10-08 16:33:50 ip: 70.24.59.237user: Ghoulish answer: 21georgestreet
2019-10-08 16:36:28 ip: 70.24.59.237user: Ghoulish answer: carthur’sbritishhotel
2019-10-08 16:37:56 ip: 70.24.59.237user: Ghoulish answer: elizabolton
2019-10-08 16:38:27 ip: 70.24.59.237user: Ghoulish answer: thnormalschool
2019-10-08 16:38:48 ip: 70.24.59.237user: Ghoulish answer: elizabolton195elgin
2019-10-08 16:44:51 ip: 70.24.59.237user: Ghoulish answer: sirwilfredlaurier
2019-10-08 16:45:15 ip: 70.24.59.237user: Ghoulish answer: teacher
2019-10-08 16:47:02 ip: 70.24.59.237user: Ghoulish answer: ms.elizabolton
2019-10-08 16:47:17 ip: 70.24.59.237user: Ghoulish answer: 594175
2019-10-11 17:49:02 ip: 70.24.59.237user: Ghoulish answer: bishopguigues
2019-10-11 17:49:42 ip: 70.24.59.237user: Ghoulish answer: monseigneurguigues
2019-10-11 17:50:05 ip: 70.24.59.237user: Ghoulish answer: monseignorguigues
2019-10-11 17:50:19 ip: 70.24.59.237user: Ghoulish answer: joseph-brunoguigues
2019-10-12 12:57:26 ip: 70.24.59.237user: Ghoulish answer: joseph-brunoguigues
